"","Shannon","Axis.1","Axis.2","Axis.3"
"Estimate",-3.43736988063534,5.26636194058903,-24.9135824987898,5.90950116435439
"Std. Error",1.9639681708355,2.00382392351848,9.34023946604354,2.75057706409992
"z value",-1.75021669479146,2.6281560364555,-2.66733873252,2.14845867853849
"Pr(>|z|)",0.0800809291255709,0.00858491267235406,0.00764545714800132,0.0316773356224547
