"barcode"	"Sample.ID"	"k4"
"tcga-13-0761-01"	"TCGA.13.0761.01A.01R"	"Differentiated"
"tcga-13-0762-01"	"TCGA.13.0762.01A.01R"	"Proliferative"
"tcga-13-0764-01"	"TCGA.13.0764.01A.03R"	"Immunoreactive"
"tcga-13-0765-01"	"TCGA.13.0765.01A.01R"	"Differentiated"
"tcga-13-0766-01"	"TCGA.13.0766.01A.02R"	"Proliferative"
"tcga-13-0768-01"	"TCGA.13.0768.01A.01R"	"Mesenchymal"
"tcga-13-0791-01"	"TCGA.13.0791.01A.01R"	"Differentiated"
"tcga-13-0792-01"	"TCGA.13.0792.01A.01R"	"Immunoreactive"
"tcga-13-0793-01"	"TCGA.13.0793.01A.01R"	"Mesenchymal"
"tcga-13-0794-01"	"TCGA.13.0794.01A.01R"	"Proliferative"
"tcga-13-0795-01"	"TCGA.13.0795.01A.01R"	"Immunoreactive"
"tcga-13-0797-01"	"TCGA.13.0797.01A.01R"	"Differentiated"
"tcga-13-0799-01"	"TCGA.13.0799.01A.01R"	"Proliferative"
"tcga-13-0800-01"	"TCGA.13.0800.01A.01R"	"Proliferative"
"tcga-13-0801-01"	"TCGA.13.0801.01A.01R"	"Immunoreactive"
"tcga-13-0802-01"	"TCGA.13.0802.01A.01R"	"Proliferative"
"tcga-13-0803-01"	"TCGA.13.0803.01A.01R"	"Differentiated"
"tcga-13-0804-01"	"TCGA.13.0804.01A.01R"	"Differentiated"
"tcga-13-0805-01"	"TCGA.13.0805.01A.01R"	"Immunoreactive"
"tcga-13-0807-01"	"TCGA.13.0807.01B.01R"	"Mesenchymal"
"tcga-13-0883-01"	"TCGA.13.0883.01A.02R"	"Differentiated"
"tcga-13-0884-01"	"TCGA.13.0884.01B.01R"	"Differentiated"
"tcga-13-0885-01"	"TCGA.13.0885.01A.02R"	"Immunoreactive"
"tcga-13-0886-01"	"TCGA.13.0886.01A.01R"	"Mesenchymal"
"tcga-13-0887-01"	"TCGA.13.0887.01A.01R"	"Differentiated"
"tcga-13-0888-01"	"TCGA.13.0888.01A.01R"	"Proliferative"
"tcga-13-0889-01"	"TCGA.13.0889.01A.01R"	"Immunoreactive"
"tcga-13-0890-01"	"TCGA.13.0890.01A.01R"	"Mesenchymal"
"tcga-13-0891-01"	"TCGA.13.0891.01A.01R"	"Differentiated"
"tcga-13-0893-01"	"TCGA.13.0893.01B.01R"	"Immunoreactive"
"tcga-13-0894-01"	"TCGA.13.0894.01B.01R"	"Mesenchymal"
"tcga-13-0897-01"	"TCGA.13.0897.01A.01R"	"Immunoreactive"
"tcga-13-0899-01"	"TCGA.13.0899.01A.01R"	"Proliferative"
"tcga-13-0900-01"	"TCGA.13.0900.01B.01R"	"Mesenchymal"
"tcga-13-0901-01"	"TCGA.13.0901.01B.01R"	"Proliferative"
"tcga-13-0903-01"	"TCGA.13.0903.01A.01R"	"Differentiated"
"tcga-13-0904-01"	"TCGA.13.0904.01A.02R"	"Differentiated"
"tcga-13-0905-01"	"TCGA.13.0905.01B.01R"	"Differentiated"
"tcga-13-0906-01"	"TCGA.13.0906.01A.01R"	"Proliferative"
"tcga-13-0908-01"	"TCGA.13.0908.01B.01R"	"Mesenchymal"
"tcga-13-0910-01"	"TCGA.13.0910.01A.01R"	"Proliferative"
"tcga-13-0911-01"	"TCGA.13.0911.01A.01R"	"Mesenchymal"
"tcga-13-0912-01"	"TCGA.13.0912.01A.01R"	"Differentiated"
"tcga-13-0913-01"	"TCGA.13.0913.01A.01R"	"Proliferative"
"tcga-13-0916-01"	"TCGA.13.0916.01A.01R"	"Proliferative"
"tcga-13-0919-01"	"TCGA.13.0919.01A.01R"	"Mesenchymal"
"tcga-13-0920-01"	"TCGA.13.0920.01A.01R"	"Proliferative"
"tcga-13-0921-01"	"TCGA.13.0921.01A.01R"	"Differentiated"
"tcga-13-0923-01"	"TCGA.13.0923.01A.01R"	"Differentiated"
"tcga-13-0924-01"	"TCGA.13.0924.01A.01R"	"Immunoreactive"
"tcga-13-1403-01"	"TCGA.13.1403.01A.01R"	"Differentiated"
"tcga-13-1404-01"	"TCGA.13.1404.01A.01R"	"Proliferative"
"tcga-13-1405-01"	"TCGA.13.1405.01A.01R"	"Mesenchymal"
"tcga-13-1407-01"	"TCGA.13.1407.01A.01R"	"Proliferative"
"tcga-13-1408-01"	"TCGA.13.1408.01A.01R"	"Mesenchymal"
"tcga-13-1409-01"	"TCGA.13.1409.01A.01R"	"Proliferative"
"tcga-13-1410-01"	"TCGA.13.1410.01A.01R"	"Immunoreactive"
"tcga-13-1411-01"	"TCGA.13.1411.01A.01R"	"Mesenchymal"
"tcga-13-1412-01"	"TCGA.13.1412.01A.01R"	"Mesenchymal"
"tcga-13-1477-01"	"TCGA.13.1477.01A.01R"	"Proliferative"
"tcga-13-1481-01"	"TCGA.13.1481.01A.01R"	"Mesenchymal"
"tcga-13-1482-01"	"TCGA.13.1482.01A.01R"	"Differentiated"
"tcga-13-1483-01"	"TCGA.13.1483.01A.01R"	"Mesenchymal"
"tcga-13-1484-01"	"TCGA.13.1484.01A.01R"	"Immunoreactive"
"tcga-13-1485-01"	"TCGA.13.1485.01A.02R"	"Mesenchymal"
"tcga-13-1487-01"	"TCGA.13.1487.01A.01R"	"Mesenchymal"
"tcga-13-1488-01"	"TCGA.13.1488.01A.01R"	"Immunoreactive"
"tcga-13-1489-01"	"TCGA.13.1489.01A.01R"	"Proliferative"
"tcga-13-1491-01"	"TCGA.13.1491.01A.01R"	"Proliferative"
"tcga-13-1492-01"	"TCGA.13.1492.01A.01R"	"Proliferative"
"tcga-13-1494-01"	"TCGA.13.1494.01A.01R"	"Mesenchymal"
"tcga-13-1495-01"	"TCGA.13.1495.01A.01R"	"Differentiated"
"tcga-13-1496-01"	"TCGA.13.1496.01A.01R"	"Immunoreactive"
"tcga-13-1497-01"	"TCGA.13.1497.01A.01R"	"Proliferative"
"tcga-13-1498-01"	"TCGA.13.1498.01A.01R"	"Immunoreactive"
"tcga-13-1499-01"	"TCGA.13.1499.01A.01R"	"Mesenchymal"
"tcga-13-1500-01"	"TCGA.13.1500.01A.01R"	"Differentiated"
"tcga-13-1501-01"	"TCGA.13.1501.01A.01R"	"Mesenchymal"
"tcga-13-1504-01"	"TCGA.13.1504.01A.01R"	"Mesenchymal"
"tcga-13-1505-01"	"TCGA.13.1505.01A.01R"	"Mesenchymal"
"tcga-13-1506-01"	"TCGA.13.1506.01A.01R"	"Proliferative"
"tcga-13-1507-01"	"TCGA.13.1507.01A.01R"	"Immunoreactive"
"tcga-13-1509-01"	"TCGA.13.1509.01A.01R"	"Mesenchymal"
"tcga-13-1510-01"	"TCGA.13.1510.01A.02R"	"Differentiated"
"tcga-13-1511-01"	"TCGA.13.1511.01A.01R"	"Differentiated"
"tcga-13-1512-01"	"TCGA.13.1512.01A.01R"	"Mesenchymal"
"tcga-13-2060-01"	"TCGA.13.2060.01A.01R"	"Immunoreactive"
"tcga-20-0987-01"	"TCGA.20.0987.01A.02R"	"Immunoreactive"
"tcga-20-0990-01"	"TCGA.20.0990.01A.01R"	"Proliferative"
"tcga-20-0991-01"	"TCGA.20.0991.01A.01R"	"Immunoreactive"
"tcga-20-1682-01"	"TCGA.20.1682.01A.01R"	"Mesenchymal"
"tcga-20-1683-01"	"TCGA.20.1683.01A.01R"	"Proliferative"
"tcga-20-1684-01"	"TCGA.20.1684.01A.01R"	"Proliferative"
"tcga-20-1685-01"	"TCGA.20.1685.01A.01R"	"Immunoreactive"
"tcga-20-1686-01"	"TCGA.20.1686.01A.01R"	"Differentiated"
"tcga-20-1687-01"	"TCGA.20.1687.01A.01R"	"Differentiated"
"tcga-23-1021-01"	"TCGA.23.1021.01B.01R"	"Differentiated"
"tcga-23-1022-01"	"TCGA.23.1022.01A.01R"	"Proliferative"
"tcga-23-1023-01"	"TCGA.23.1023.01A.02R"	"Differentiated"
"tcga-23-1024-01"	"TCGA.23.1024.01A.02R"	"Proliferative"
"tcga-23-1026-01"	"TCGA.23.1026.01B.01R"	"Differentiated"
"tcga-23-1027-01"	"TCGA.23.1027.01A.02R"	"Differentiated"
"tcga-23-1028-01"	"TCGA.23.1028.01A.01R"	"Differentiated"
"tcga-23-1029-01"	"TCGA.23.1029.01B.01R"	"Differentiated"
"tcga-23-1030-01"	"TCGA.23.1030.01A.02R"	"Differentiated"
"tcga-23-1031-01"	"TCGA.23.1031.01A.01R"	"Proliferative"
"tcga-23-1032-01"	"TCGA.23.1032.01A.02R"	"Proliferative"
"tcga-23-1107-01"	"TCGA.23.1107.01A.01R"	"Proliferative"
"tcga-23-1109-01"	"TCGA.23.1109.01A.01R"	"Proliferative"
"tcga-23-1110-01"	"TCGA.23.1110.01A.01R"	"Proliferative"
"tcga-23-1111-01"	"TCGA.23.1111.01A.01R"	"Differentiated"
"tcga-23-1113-01"	"TCGA.23.1113.01A.01R"	"Proliferative"
"tcga-23-1114-01"	"TCGA.23.1114.01B.01R"	"Proliferative"
"tcga-23-1116-01"	"TCGA.23.1116.01A.01R"	"Mesenchymal"
"tcga-23-1117-01"	"TCGA.23.1117.01A.02R"	"Mesenchymal"
"tcga-23-1118-01"	"TCGA.23.1118.01A.01R"	"Differentiated"
"tcga-23-1119-01"	"TCGA.23.1119.01A.02R"	"Proliferative"
"tcga-23-1120-01"	"TCGA.23.1120.01A.02R"	"Immunoreactive"
"tcga-23-1121-01"	"TCGA.23.1121.01A.01R"	"Proliferative"
"tcga-23-1122-01"	"TCGA.23.1122.01A.01R"	"Proliferative"
"tcga-23-1123-01"	"TCGA.23.1123.01A.01R"	"Immunoreactive"
"tcga-23-1124-01"	"TCGA.23.1124.01A.01R"	"Differentiated"
"tcga-23-1809-01"	"TCGA.23.1809.01A.01R"	"Proliferative"
"tcga-23-2072-01"	"TCGA.23.2072.01A.01R"	"Differentiated"
"tcga-23-2077-01"	"TCGA.23.2077.01A.01R"	"Immunoreactive"
"tcga-23-2078-01"	"TCGA.23.2078.01A.01R"	"Mesenchymal"
"tcga-23-2079-01"	"TCGA.23.2079.01A.01R"	"Immunoreactive"
"tcga-23-2081-01"	"TCGA.23.2081.01A.01R"	"Differentiated"
"tcga-23-2084-01"	"TCGA.23.2084.01A.02R"	"Immunoreactive"
"tcga-24-0966-01"	"TCGA.24.0966.01A.01R"	"Differentiated"
"tcga-24-0968-01"	"TCGA.24.0968.01A.01R"	"Immunoreactive"
"tcga-24-0970-01"	"TCGA.24.0970.01B.01R"	"Mesenchymal"
"tcga-24-0975-01"	"TCGA.24.0975.01A.02R"	"Mesenchymal"
"tcga-24-0979-01"	"TCGA.24.0979.01A.01R"	"Differentiated"
"tcga-24-0980-01"	"TCGA.24.0980.01A.01R"	"Differentiated"
"tcga-24-0982-01"	"TCGA.24.0982.01A.01R"	"Proliferative"
"tcga-24-1103-01"	"TCGA.24.1103.01A.01R"	"Differentiated"
"tcga-24-1104-01"	"TCGA.24.1104.01A.01R"	"Differentiated"
"tcga-24-1105-01"	"TCGA.24.1105.01A.01R"	"Differentiated"
"tcga-24-1413-01"	"TCGA.24.1413.01A.01R"	"Differentiated"
"tcga-24-1416-01"	"TCGA.24.1416.01A.01R"	"Differentiated"
"tcga-24-1417-01"	"TCGA.24.1417.01A.01R"	"Immunoreactive"
"tcga-24-1418-01"	"TCGA.24.1418.01A.01R"	"Mesenchymal"
"tcga-24-1419-01"	"TCGA.24.1419.01A.01R"	"Proliferative"
"tcga-24-1422-01"	"TCGA.24.1422.01A.01R"	"Mesenchymal"
"tcga-24-1423-01"	"TCGA.24.1423.01A.01R"	"Differentiated"
"tcga-24-1424-01"	"TCGA.24.1424.01A.01R"	"Proliferative"
"tcga-24-1425-01"	"TCGA.24.1425.01A.02R"	"Mesenchymal"
"tcga-24-1426-01"	"TCGA.24.1426.01A.01R"	"Proliferative"
"tcga-24-1427-01"	"TCGA.24.1427.01A.01R"	"Mesenchymal"
"tcga-24-1428-01"	"TCGA.24.1428.01A.01R"	"Immunoreactive"
"tcga-24-1430-01"	"TCGA.24.1430.01A.01R"	"Proliferative"
"tcga-24-1431-01"	"TCGA.24.1431.01A.01R"	"Differentiated"
"tcga-24-1434-01"	"TCGA.24.1434.01A.01R"	"Mesenchymal"
"tcga-24-1435-01"	"TCGA.24.1435.01A.01R"	"Immunoreactive"
"tcga-24-1436-01"	"TCGA.24.1436.01A.01R"	"Immunoreactive"
"tcga-24-1463-01"	"TCGA.24.1463.01A.01R"	"Mesenchymal"
"tcga-24-1464-01"	"TCGA.24.1464.01A.01R"	"Differentiated"
"tcga-24-1466-01"	"TCGA.24.1466.01A.01R"	"Differentiated"
"tcga-24-1467-01"	"TCGA.24.1467.01A.01R"	"Differentiated"
"tcga-24-1469-01"	"TCGA.24.1469.01A.01R"	"Proliferative"
"tcga-24-1470-01"	"TCGA.24.1470.01A.01R"	"Immunoreactive"
"tcga-24-1471-01"	"TCGA.24.1471.01A.01R"	"Differentiated"
"tcga-24-1474-01"	"TCGA.24.1474.01A.01R"	"Immunoreactive"
"tcga-24-1544-01"	"TCGA.24.1544.01A.01R"	"Proliferative"
"tcga-24-1545-01"	"TCGA.24.1545.01A.01R"	"Mesenchymal"
"tcga-24-1546-01"	"TCGA.24.1546.01A.01R"	"Mesenchymal"
"tcga-24-1548-01"	"TCGA.24.1548.01A.01R"	"Proliferative"
"tcga-24-1549-01"	"TCGA.24.1549.01A.01R"	"Immunoreactive"
"tcga-24-1550-01"	"TCGA.24.1550.01A.01R"	"Mesenchymal"
"tcga-24-1551-01"	"TCGA.24.1551.01A.01R"	"Immunoreactive"
"tcga-24-1552-01"	"TCGA.24.1552.01A.01R"	"Differentiated"
"tcga-24-1553-01"	"TCGA.24.1553.01A.01R"	"Immunoreactive"
"tcga-24-1555-01"	"TCGA.24.1555.01A.01R"	"Differentiated"
"tcga-24-1556-01"	"TCGA.24.1556.01A.01R"	"Immunoreactive"
"tcga-24-1557-01"	"TCGA.24.1557.01A.01R"	"Differentiated"
"tcga-24-1558-01"	"TCGA.24.1558.01A.01R"	"Proliferative"
"tcga-24-1560-01"	"TCGA.24.1560.01A.01R"	"Proliferative"
"tcga-24-1562-01"	"TCGA.24.1562.01A.01R"	"Differentiated"
"tcga-24-1563-01"	"TCGA.24.1563.01A.01R"	"Mesenchymal"
"tcga-24-1564-01"	"TCGA.24.1564.01A.01R"	"Mesenchymal"
"tcga-24-1565-01"	"TCGA.24.1565.01A.01R"	"Differentiated"
"tcga-24-1567-01"	"TCGA.24.1567.01A.01R"	"Proliferative"
"tcga-24-1603-01"	"TCGA.24.1603.01A.01R"	"Proliferative"
"tcga-24-1604-01"	"TCGA.24.1604.01A.01R"	"Differentiated"
"tcga-24-1614-01"	"TCGA.24.1614.01A.01R"	"Proliferative"
"tcga-24-1616-01"	"TCGA.24.1616.01A.01R"	"Differentiated"
"tcga-24-1842-01"	"TCGA.24.1842.01A.01R"	"Immunoreactive"
"tcga-24-1843-01"	"TCGA.24.1843.01A.01R"	"Immunoreactive"
"tcga-24-1844-01"	"TCGA.24.1844.01A.01R"	"Differentiated"
"tcga-24-1845-01"	"TCGA.24.1845.01A.01R"	"Differentiated"
"tcga-24-1846-01"	"TCGA.24.1846.01A.01R"	"Immunoreactive"
